id,user,game,rating
0,151603712,The Elder Scrolls V Skyrim,5.0
1,151603712,Fallout 4,5.0
2,151603712,Spore,2.0
3,151603712,Fallout New Vegas,2.0
4,151603712,Left 4 Dead 2,1.0
5,151603712,HuniePop,1.0
6,151603712,Path of Exile,1.0
7,151603712,Poly Bridge,1.0
8,151603712,Left 4 Dead,1.0
9,151603712,Team Fortress 2,1.0
10,151603712,Tomb Raider,1.0
11,151603712,The Banner Saga,1.0
12,151603712,Dead Island Epidemic,1.0
13,151603712,BioShock Infinite,1.0
14,151603712,Dragon Age Origins - Ultimate Edition,1.0
15,151603712,Fallout 3 - Game of the Year Edition,1.0
16,151603712,SEGA Genesis & Mega Drive Classics,1.0
17,151603712,Grand Theft Auto IV,1.0
18,151603712,Realm of the Mad God,1.0
19,151603712,Marvel Heroes 2015,1.0
20,151603712,Eldevin,1.0
21,151603712,Dota 2,1.0
22,151603712,BioShock,1.0
23,151603712,Robocraft,1.0
24,151603712,Garry's Mod,1.0
25,151603712,Jazzpunk,1.0
26,187131847,Dota 2,1.0
27,59945701,Ultra Street Fighter IV,5.0
28,59945701,FINAL FANTASY XIII,5.0
29,59945701,The Elder Scrolls V Skyrim,5.0
30,59945701,Sid Meier's Civilization V,3.0
31,59945701,L.A. Noire,2.0
32,59945701,Company of Heroes Tales of Valor,2.0
33,59945701,7 Days to Die,1.0
34,59945701,Divekick,1.0
35,59945701,FINAL FANTASY VII,1.0
36,59945701,Orcs Must Die! 2,1.0
37,59945701,Killing Floor,1.0
38,59945701,Company of Heroes,1.0
39,59945701,Bastion,1.0
40,59945701,Undertale,1.0
41,59945701,Counter-Strike Global Offensive,1.0
42,59945701,Orcs Must Die!,1.0
43,59945701,THE KING OF FIGHTERS XIII STEAM EDITION,1.0
44,59945701,GUILTY GEAR XX ACCENT CORE PLUS R,1.0
45,59945701,Skullgirls,1.0
46,59945701,Assassin's Creed II,1.0
47,59945701,Company of Heroes Opposing Fronts,1.0
48,59945701,Team Fortress 2,1.0
49,53875128,Grand Theft Auto V,5.0
50,53875128,Insurgency,5.0
51,53875128,Left 4 Dead 2,5.0
52,53875128,METAL GEAR SOLID V THE PHANTOM PAIN,5.0
53,53875128,S.T.A.L.K.E.R. Shadow of Chernobyl,5.0
54,53875128,S.T.A.L.K.E.R. Call of Pripyat,5.0
55,53875128,Saints Row The Third,4.0
56,53875128,Far Cry 3,4.0
57,53875128,S.T.A.L.K.E.R. Clear Sky,4.0
58,53875128,Rocket League,4.0
59,53875128,Assassin's Creed II,4.0
60,53875128,Far Cry 4,4.0
61,53875128,Prototype,3.0
62,53875128,Space Pirates and Zombies,3.0
63,53875128,Dying Light,3.0
64,53875128,Just Cause 2,3.0
65,53875128,Mirror's Edge,3.0
66,53875128,Mad Max,3.0
67,53875128,Portal 2,3.0
68,53875128,Deus Ex Human Revolution,3.0
69,53875128,Middle-earth Shadow of Mordor,2.0
70,53875128,RUNNING WITH RIFLES,2.0
71,53875128,Deus Ex Human Revolution - Director's Cut,2.0
72,53875128,Batman Arkham City GOTY,2.0
73,53875128,Tropico 4,2.0
74,53875128,Cave Story+,2.0
75,53875128,Dust An Elysian Tail,2.0
76,53875128,F.E.A.R.,2.0
77,53875128,South Park The Stick of Truth,2.0
78,53875128,Sleeping Dogs,2.0
79,53875128,Watch_Dogs,2.0
80,53875128,Saints Row IV,2.0
81,53875128,DayZ,2.0
82,53875128,Half-Life 2,2.0
83,53875128,Reassembly,2.0
84,53875128,Sid Meier's Civilization III Complete,1.0
85,53875128,The Talos Principle,1.0
86,53875128,DiRT 3,1.0
87,53875128,FTL Faster Than Light,1.0
88,53875128,Bastion,1.0
89,53875128,Age of Empires II HD Edition,1.0
90,53875128,Batman Arkham Asylum GOTY Edition,1.0
91,53875128,Gunpoint,1.0
92,53875128,Rebuild 3 Gangs of Deadsville,1.0
93,53875128,Recettear An Item Shop's Tale,1.0
94,53875128,Metro 2033,1.0
95,53875128,Monaco,1.0
96,53875128,Fallout New Vegas,1.0
97,53875128,Overgrowth,1.0
98,53875128,Assassin's Creed III,1.0
99,53875128,Ori and the Blind Forest,1.0
100,53875128,Far Cry 3 Blood Dragon,1.0
101,53875128,Burnout Paradise The Ultimate Box,1.0
102,53875128,PROTOTYPE 2,1.0
103,53875128,Game Dev Tycoon,1.0
104,53875128,Sniper Elite 3,1.0
105,53875128,Gratuitous Space Battles,1.0
106,53875128,Sid Meier's Civilization V,1.0
107,53875128,Rogue Legacy,1.0
108,53875128,Plague Inc Evolved,1.0
109,53875128,From Dust,1.0
110,53875128,Next Car Game Wreckfest,1.0
111,53875128,Rivals of Aether,1.0
112,53875128,Half-Life 2 Episode Two,1.0
113,53875128,Rise of Nations Extended Edition,1.0
114,53875128,Nidhogg,1.0
115,53875128,Spec Ops The Line,1.0
116,53875128,Dishonored,1.0
117,53875128,Half-Life 2 Episode One,1.0
118,53875128,Wolfenstein The New Order,1.0
119,53875128,Distance,1.0
120,53875128,Epic Battle Fantasy 4,1.0
121,53875128,Metro Last Light,1.0
122,53875128,Miasmata,1.0
123,53875128,Dead Space,1.0
124,53875128,Hotline Miami,1.0
125,53875128,NOT A HERO,1.0
126,53875128,Receiver,1.0
127,53875128,Crypt of the NecroDancer,1.0
128,53875128,Portal,1.0
129,53875128,F.E.A.R. 2 Project Origin,1.0
130,53875128,NaissanceE,1.0
131,53875128,SteamWorld Dig,1.0
132,53875128,Kairo,1.0
133,53875128,SNOW,1.0
134,53875128,The Binding of Isaac,1.0
135,53875128,LEGO The Lord of the Rings,1.0
136,53875128,METAL GEAR RISING REVENGEANCE,1.0
137,53875128,Starpoint Gemini 2,1.0
138,53875128,The Vanishing of Ethan Carter,1.0
139,53875128,Goat Simulator,1.0
140,53875128,Mass Effect,1.0
141,53875128,Arma 2 Operation Arrowhead,1.0
142,53875128,METAL GEAR SOLID V GROUND ZEROES,1.0
143,53875128,Banished,1.0
144,53875128,DiRT Showdown,1.0
145,53875128,Left 4 Dead,1.0
146,53875128,Sonic Adventure 2 ,1.0
147,53875128,Grand Theft Auto IV,1.0
148,53875128,Battlestations Midway,1.0
149,53875128,HOARD,1.0
150,53875128,Sunless Sea,1.0
151,53875128,Mark of the Ninja,1.0
152,53875128,L.A. Noire,1.0
153,53875128,Creeper World 3 Arc Eternal,1.0
154,53875128,Turbo Dismount,1.0
155,53875128,Floating Point,1.0
156,53875128,Grow Home,1.0
157,53875128,LUFTRAUSERS,1.0
158,53875128,Arma 2,1.0
159,53875128,No Time To Explain Remastered,1.0
160,53875128,FEZ,1.0
161,53875128,Delver,1.0
162,53875128,The Legend of Heroes Trails in the Sky,1.0
163,53875128,Evoland,1.0
164,53875128,Bleed,1.0
165,53875128,Borderlands 2,1.0
166,53875128,Race The Sun,1.0
167,53875128,Shadowgrounds,1.0
168,53875128,They Bleed Pixels,1.0
169,53875128,BioShock,1.0
170,53875128,Trine,1.0
171,53875128,"Sir, You Are Being Hunted",1.0
172,53875128,Next Car Game Sneak Peek 2.0,1.0
173,53875128,Symphony,1.0
174,53875128,DLC Quest,1.0
175,53875128,Far Cry 2,1.0
176,53875128,The Stanley Parable,1.0
177,53875128,Freedom Planet,1.0
178,53875128,KHOLAT,1.0
179,53875128,Osmos,1.0
180,53875128,Secrets of Rtikon,1.0
181,53875128,Oil Rush,1.0
182,53875128,Unepic,1.0
183,53875128,FINAL FANTASY VII,1.0
184,53875128,The Legend of Korra,1.0
185,53875128,404Sight,1.0
186,53875128,Dark Souls Prepare to Die Edition,1.0
187,53875128,Gravity Ghost,1.0
